channelid,subcnt,viewcnt,videocnt,ct,channelname
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,425126367,740,2021-10-13 15:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,425126367,740,2021-10-13 21:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,425126367,740,2021-10-14 03:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,425126367,740,2021-10-14 09:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,425535050,740,2021-10-14 15:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,425535050,741,2021-10-14 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,425535050,741,2021-10-15 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,425535050,741,2021-10-15 09:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,426639667,741,2021-10-15 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,426639667,741,2021-10-15 21:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,426639667,741,2021-10-16 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,427335625,741,2021-10-16 09:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1370000,427335625,741,2021-10-16 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,427335625,742,2021-10-16 21:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,427335625,742,2021-10-17 03:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,427335625,742,2021-10-17 09:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,428795693,742,2021-10-17 15:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,428795693,742,2021-10-17 21:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,428795693,742,2021-10-18 03:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,428795693,742,2021-10-18 09:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,429546697,742,2021-10-18 15:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,429546697,742,2021-10-18 21:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,429546697,742,2021-10-19 03:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,429546697,742,2021-10-19 09:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430051403,742,2021-10-19 15:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430124493,742,2021-10-19 21:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430124493,742,2021-10-20 03:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430382230,742,2021-10-20 09:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430382230,742,2021-10-20 15:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430382230,742,2021-10-20 21:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430382230,742,2021-10-21 03:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430382230,742,2021-10-21 09:01:02,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430650937,742,2021-10-21 15:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430650937,743,2021-10-21 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430650937,743,2021-10-22 03:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1380000,430650937,743,2021-10-22 09:01:08,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,430650937,743,2021-10-22 15:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,430650937,743,2021-10-22 21:01:06,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,430650937,743,2021-10-23 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,430650937,743,2021-10-23 09:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,432401619,743,2021-10-23 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,432401619,744,2021-10-23 21:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,432401619,744,2021-10-24 03:01:07,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,433701168,744,2021-10-24 09:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,433701168,744,2021-10-24 15:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,433701168,744,2021-10-24 21:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,433701168,744,2021-10-25 03:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,434611738,744,2021-10-25 09:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,434611738,744,2021-10-25 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,434611738,744,2021-10-25 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,434611738,744,2021-10-26 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,434611738,744,2021-10-26 09:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435056835,744,2021-10-26 15:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435056835,744,2021-10-26 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435056835,744,2021-10-27 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435397532,744,2021-10-27 09:01:07,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435397532,744,2021-10-27 15:01:07,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435397532,744,2021-10-27 21:01:21,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435397532,744,2021-10-28 03:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435712484,744,2021-10-28 09:01:06,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435712484,744,2021-10-28 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435712484,745,2021-10-28 21:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435712484,745,2021-10-29 03:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1390000,435712484,745,2021-10-29 09:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,437157494,745,2021-10-29 15:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,437157494,745,2021-10-29 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,437157494,745,2021-10-30 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,437157494,745,2021-10-30 09:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,438029620,745,2021-10-30 15:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,438029620,746,2021-10-30 21:01:07,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,438029620,746,2021-10-31 03:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,438029620,746,2021-10-31 09:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,439556312,746,2021-10-31 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,439556312,746,2021-10-31 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,439556312,746,2021-11-01 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,440372648,746,2021-11-01 09:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1400000,440372648,746,2021-11-01 15:01:08,꽈뚜룹
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28383333,73,2021-10-01 03:01:03,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28383333,73,2021-10-01 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28415226,73,2021-10-01 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28415226,73,2021-10-01 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28415226,73,2021-10-02 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28415226,73,2021-10-02 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28415226,73,2021-10-02 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28415226,73,2021-10-02 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28415226,73,2021-10-03 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28415226,73,2021-10-03 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28489549,73,2021-10-03 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28489549,73,2021-10-03 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28489549,73,2021-10-04 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28532142,73,2021-10-04 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28532142,73,2021-10-04 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,257000,28532142,73,2021-10-04 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28532142,73,2021-10-05 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28572362,73,2021-10-05 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28572362,73,2021-10-05 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28572362,73,2021-10-05 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28572362,73,2021-10-06 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28611079,73,2021-10-06 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28611079,73,2021-10-06 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28611079,73,2021-10-06 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28611079,73,2021-10-07 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28648155,73,2021-10-07 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28648155,73,2021-10-07 15:01:03,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28648155,73,2021-10-07 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28648155,73,2021-10-08 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28648155,73,2021-10-08 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,258000,28684340,73,2021-10-08 15:01:03,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28684340,75,2021-10-08 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28684340,75,2021-10-09 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28743198,75,2021-10-09 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28743198,75,2021-10-09 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28743198,75,2021-10-09 21:01:03,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28743198,75,2021-10-10 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28816911,75,2021-10-10 09:01:03,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28822856,75,2021-10-10 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,259000,28822856,76,2021-10-10 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,28822856,76,2021-10-11 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,28885924,76,2021-10-11 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,28885924,76,2021-10-11 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,28885924,76,2021-10-11 21:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,28885924,76,2021-10-12 03:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,28987907,76,2021-10-12 09:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,28987907,76,2021-10-12 15:01:02,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,29057973,76,2021-10-13 09:41:36,야전삽짱재
UCEI4rb8YldV8v0dVUSo9ToQ,260000,29057973,76,2021-10-13 09:41:36,야전삽짱재
