사고내용,가해자성별,가해자연령,가해자차종,피해자신체상해정도,사고유형,기상상태,사망자수,발생시각
경상,여,21세,승용차,경상,차대차 - 기타,맑음,0,2018-06-12 23시
중상,여,32세,승용차,중상,차대차 - 추돌,맑음,0,2018-02-02 06시
중상,남,71세,승용차,중상,차대차 - 기타,맑음,0,2018-04-25 13시
중상,남,61세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-04-30 21시
중상,남,15세,자전거,중상,차대차 - 측면충돌,맑음,0,2018-03-22 16시
경상,남,38세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-05-03 09시
경상,여,50세,승용차,경상,차대차 - 측면충돌,흐림,0,2018-09-09 14시
중상,남,72세,승용차,중상,차대차 - 기타,맑음,0,2018-12-17 16시
경상,여,40세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-01-15 16시
경상,남,66세,화물차,경상,차대차 - 측면충돌,비,0,2018-12-03 05시
경상,남,65세,승용차,경상,차대차 - 기타,맑음,0,2018-06-02 21시
중상,여,23세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-06-08 17시
경상,남,66세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-12-20 07시
중상,여,58세,승용차,중상,차대차 - 기타,맑음,0,2018-08-31 07시
경상,여,55세,승용차,경상,차대차 - 기타,맑음,0,2018-10-23 17시
경상,남,60세,화물차,경상,차대차 - 측면충돌,맑음,1,2018-08-10 05시
중상,남,57세,자전거,경상,차대차 - 기타,맑음,1,2018-11-16 16시
경상,남,60세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-18 20시
경상,남,54세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-27 19시
경상,남,76세,승용차,경상,차대차 - 기타,맑음,0,2018-12-25 06시
경상,여,59세,자전거,경상,차대사람 - 기타,맑음,0,2018-09-17 14시
경상,남,15세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-10-16 08시
중상,남,80세,승용차,중상,차대차 - 기타,맑음,0,2018-11-20 01시
경상,남,43세,승용차,경상,차대차 - 기타,맑음,0,2018-12-22 16시
중상,남,,승용차,중상,차대차 - 측면충돌,맑음,0,2018-04-11 20시
경상,남,32세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-17 15시
중상,남,65세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-09-27 15시
경상,남,62세,승용차,경상,차대차 - 추돌,맑음,0,2018-03-12 14시
경상,남,79세,승용차,경상,차대차 - 기타,맑음,0,2018-06-19 18시
경상,남,37세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-07-20 09시
경상,여,40세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-05-27 20시
경상,여,44세,승용차,경상,차대차 - 추돌,맑음,0,2018-07-05 20시
경상,남,70세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-20 17시
경상,남,67세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-21 15시
중상,여,48세,승용차,중상,차대차 - 기타,맑음,0,2018-11-26 15시
경상,남,76세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-05-31 06시
중상,여,55세,승용차,중상,차대차 - 기타,맑음,0,2018-07-08 09시
경상,남,52세,승용차,경상,차대차 - 기타,맑음,0,2018-07-25 19시
중상,남,64세,승용차,중상,차대차 - 기타,맑음,0,2018-01-21 09시
경상,남,50세,승용차,경상,차대차 - 기타,맑음,0,2018-01-31 19시
경상,여,51세,자전거,경상,차대사람 - 기타,맑음,0,2018-03-13 13시
중상,남,55세,승용차,중상,차대차 - 측면충돌,비,0,2018-11-07 08시
경상,여,45세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-11-18 08시
경상,남,61세,승용차,경상,차대차 - 기타,맑음,0,2018-04-19 01시
중상,여,37세,승용차,중상,차대차 - 기타,비,0,2018-11-08 03시
경상,남,41세,화물차,경상,차대차 - 기타,맑음,0,2018-10-13 15시
경상,여,59세,승용차,경상,차대차 - 추돌,맑음,0,2018-01-15 14시
경상,남,62세,화물차,경상,차대차 - 기타,맑음,0,2018-08-05 16시
경상,여,33세,승용차,경상,차대차 - 기타,맑음,0,2018-08-09 18시
중상,남,16세,자전거,중상,차대사람 - 기타,맑음,0,2018-09-21 17시
경상,남,37세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-04-02 19시
경상,남,63세,승용차,경상,차대차 - 기타,맑음,0,2018-01-05 09시
중상,여,38세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-08-20 14시
중상,남,57세,승용차,중상,차대차 - 추돌,맑음,0,2018-01-21 07시
경상,남,26세,자전거,경상,차대차 - 기타,맑음,0,2018-06-22 17시
경상,여,58세,승용차,경상,차대차 - 기타,맑음,0,2018-09-25 15시
경상,여,62세,승용차,경상,차대차 - 기타,맑음,0,2018-10-08 11시
중상,,불명,자전거,중상,차대차 - 기타,맑음,0,2018-07-08 22시
중상,남,58세,자전거,중상,차대차 - 추돌,맑음,0,2018-09-25 17시
중상,남,78세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-07-07 18시
경상,남,56세,화물차,경상,차대차 - 기타,맑음,0,2018-08-10 06시
중상,남,75세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-10-08 12시
중상,남,26세,승용차,중상,차대차 - 기타,맑음,0,2018-06-21 21시
중상,남,46세,승용차,중상,차대차 - 기타,맑음,0,2018-12-27 18시
경상,남,26세,화물차,경상,차대차 - 측면충돌,맑음,0,2018-04-11 08시
경상,여,47세,승용차,경상,차대차 - 기타,맑음,0,2018-06-07 17시
중상,여,64세,자전거,중상,차대사람 - 기타,맑음,0,2018-04-19 13시
경상,남,50세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-06-19 16시
경상,남,39세,승용차,경상,차대차 - 기타,맑음,0,2018-11-01 09시
경상,남,38세,승용차,경상,차대차 - 기타,맑음,0,2018-11-02 18시
중상,남,64세,자전거,중상,차대차 - 측면충돌,맑음,0,2018-11-18 12시
중상,남,69세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-01-12 10시
경상,남,71세,화물차,경상,차대차 - 기타,맑음,0,2018-04-03 16시
경상,남,41세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-05-08 19시
중상,남,38세,승용차,중상,차대차 - 기타,맑음,0,2018-02-15 06시
경상,남,61세,승용차,경상,차대차 - 기타,맑음,0,2018-03-22 00시
경상,여,46세,자전거,경상,차대차 - 기타,맑음,0,2018-10-09 14시
경상,남,43세,자전거,경상,차대사람 - 기타,맑음,0,2018-06-24 09시
경상,남,50세,자전거,경상,차대사람 - 기타,맑음,0,2018-07-25 20시
경상,여,28세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-08-23 00시
경상,남,58세,자전거,경상,차대차 - 기타,맑음,0,2018-09-08 13시
경상,남,31세,화물차,경상,차대차 - 측면충돌,비,1,2018-09-20 09시
경상,여,39세,승용차,경상,차대차 - 측면충돌,맑음,1,2018-04-13 18시
중상,남,64세,승용차,중상,차대차 - 기타,맑음,1,2018-05-13 20시
경상,여,63세,승용차,경상,차대차 - 측면충돌,맑음,1,2018-09-27 14시
경상,남,43세,승용차,경상,차대차 - 기타,맑음,1,2018-11-14 04시
경상,남,66세,승용차,경상,차대차 - 기타,흐림,0,2018-05-16 21시
경상,남,67세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-10-13 21시
경상,남,60세,승용차,경상,차대차 - 측면충돌,맑음,1,2018-07-12 06시
중상,남,54세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-06-23 08시
중상,남,13세,자전거,중상,차대차 - 기타,맑음,0,2018-07-08 22시
경상,남,10세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-09-07 18시
경상,남,37세,자전거,경상,차대사람 - 기타,맑음,0,2018-07-25 22시
경상,남,58세,화물차,경상,차대차 - 측면충돌,맑음,0,2018-08-15 07시
경상,남,36세,화물차,경상,차대차 - 측면충돌,맑음,0,2018-02-19 11시
중상,남,59세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-09-08 07시
경상,남,52세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-06-06 18시
중상,남,28세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-06-17 22시
경상,여,54세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-24 22시
중상,남,49세,자전거,중상,차대차 - 측면충돌,맑음,0,2018-11-29 18시
경상,남,46세,화물차,경상,차대차 - 측면충돌,맑음,0,2018-10-30 06시
경상,남,58세,화물차,경상,차대차 - 기타,맑음,0,2018-04-24 17시
경상,남,56세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-09-15 21시
경상,남,71세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-01-22 08시
중상,남,26세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-03-17 14시
중상,남,73세,승용차,중상,차대차 - 기타,맑음,1,2018-06-10 18시
경상,남,38세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-09-01 16시
중상,남,66세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-10-12 17시
경상,여,53세,승용차,경상,차대차 - 추돌,맑음,1,2018-02-04 08시
중상,여,43세,승용차,중상,차대차 - 측면충돌,맑음,1,2018-05-10 15시
중상,남,67세,자전거,중상,차대차 - 기타,맑음,0,2018-05-05 18시
경상,남,21세,자전거,경상,차대차 - 기타,맑음,0,2018-06-29 16시
중상,남,58세,승용차,중상,차대차 - 기타,맑음,0,2018-04-10 19시
중상,남,60세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-04-21 07시
경상,여,51세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-09-27 07시
경상,남,61세,자전거,경상,차대차 - 기타,맑음,0,2018-10-25 16시
경상,남,42세,자전거,경상,차대차 - 기타,맑음,0,2018-11-13 14시
경상,남,60세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-07-22 15시
경상,남,14세,자전거,경상,차대사람 - 기타,맑음,0,2018-12-29 20시
경상,남,59세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-03-17 16시
경상,남,27세,승용차,경상,차대차 - 기타,맑음,0,2018-04-02 07시
중상,남,25세,승용차,중상,차대차 - 기타,맑음,0,2018-10-02 18시
경상,남,58세,승용차,경상,차대차 - 측면충돌,흐림,0,2018-11-04 23시
경상,여,64세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-11-14 15시
중상,남,53세,화물차,중상,차대차 - 기타,맑음,0,2018-04-04 10시
중상,여,38세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-04-27 14시
중상,남,64세,승용차,중상,차대차 - 측면충돌,비,0,2018-05-22 19시
중상,남,25세,승용차,중상,차대차 - 측면충돌,흐림,0,2018-07-12 01시
경상,남,58세,자전거,경상,차대사람 - 기타,맑음,0,2018-02-15 15시
중상,남,15세,자전거,중상,차대사람 - 기타,맑음,0,2018-05-08 07시
중상,남,54세,자전거,중상,차대차 - 측면충돌,맑음,0,2018-06-29 18시
중상,남,32세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-01-24 16시
경상,남,67세,승용차,경상,차대차 - 측면충돌,흐림,0,2018-12-18 10시
중상,여,36세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-01-02 18시
경상,남,69세,승용차,경상,차대차 - 기타,맑음,0,2018-04-15 18시
중상,남,31세,승용차,중상,차대차 - 기타,맑음,0,2018-03-04 01시
경상,남,67세,자전거,경상,차대사람 - 기타,흐림,0,2018-04-03 17시
경상,남,58세,승용차,경상,차대차 - 추돌,맑음,0,2018-05-23 18시
중상,여,43세,승용차,중상,차대차 - 기타,맑음,0,2018-10-19 08시
경상,남,60세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-11-30 10시
중상,남,31세,자전거,중상,차대차 - 측면충돌,흐림,0,2018-05-01 14시
중상,남,50세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-05-07 18시
중상,남,13세,자전거,중상,차대차 - 측면충돌,맑음,0,2018-06-10 17시
경상,남,12세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-03-10 15시
중상,여,21세,자전거,중상,차대차 - 기타,맑음,0,2018-09-27 18시
경상,남,51세,자전거,경상,차대차 - 기타,맑음,0,2018-09-22 10시
중상,남,47세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-05-19 14시
중상,남,70세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-01-28 06시
경상,남,48세,자전거,경상,차대차 - 추돌,맑음,0,2018-05-25 17시
경상,여,61세,승용차,경상,차대차 - 기타,맑음,0,2018-06-20 22시
경상,여,53세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-10-02 16시
경상,여,31세,화물차,경상,차대차 - 기타,맑음,0,2018-08-17 20시
중상,남,36세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-03-19 16시
경상,남,57세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-07-22 17시
경상,여,52세,승용차,경상,차대차 - 기타,맑음,0,2018-12-06 19시
경상,남,38세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-01-27 16시
경상,남,62세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-05-20 16시
경상,남,55세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-14 22시
경상,남,39세,자전거,경상,차대차 - 추돌,맑음,0,2018-09-23 00시
경상,남,64세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-10-18 01시
경상,남,52세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-01-02 21시
경상,여,61세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-03-11 09시
경상,남,44세,승용차,경상,차대차 - 기타,맑음,0,2018-07-16 21시
경상,여,37세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-08 08시
경상,남,67세,화물차,경상,차대차 - 측면충돌,맑음,0,2018-09-15 16시
경상,남,64세,승용차,경상,차대차 - 기타,맑음,0,2018-09-19 09시
중상,남,61세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-10-30 14시
경상,남,68세,자전거,경상,차대사람 - 기타,맑음,0,2018-02-27 16시
경상,,불명,자전거,경상,차대사람 - 기타,맑음,0,2018-05-15 19시
경상,남,67세,승용차,경상,차대차 - 기타,맑음,0,2018-09-18 14시
중상,여,60세,승용차,중상,차대차 - 기타,흐림,0,2018-12-01 10시
경상,남,57세,자전거,경상,차대차 - 기타,맑음,0,2018-05-08 01시
경상,남,59세,화물차,경상,차대차 - 측면충돌,비,0,2018-08-28 18시
중상,남,63세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-10-13 14시
경상,남,65세,승용차,경상,차대차 - 기타,맑음,0,2018-11-17 11시
경상,남,56세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-04-19 19시
경상,남,25세,화물차,경상,차대차 - 측면충돌,맑음,0,2018-12-01 12시
경상,남,48세,화물차,경상,차대차 - 측면충돌,맑음,0,2018-05-01 15시
경상,여,47세,승용차,경상,차대차 - 기타,맑음,0,2018-06-24 14시
경상,여,61세,승용차,경상,차대차 - 기타,맑음,0,2018-08-21 18시
경상,남,72세,승용차,경상,차대차 - 기타,맑음,0,2018-10-04 09시
경상,여,37세,승용차,경상,차대차 - 측면충돌,맑음,1,2018-08-30 09시
경상,남,50세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-08-03 17시
중상,여,61세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-10-31 20시
중상,남,37세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-06-09 10시
경상,여,36세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-05-26 14시
중상,남,68세,승용차,중상,차대차 - 기타,맑음,0,2018-09-05 09시
중상,남,33세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-09-25 10시
중상,남,31세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-12-13 08시
경상,남,35세,자전거,경상,차대사람 - 기타,맑음,0,2018-06-02 14시
경상,여,58세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-07-29 23시
중상,남,56세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-09-23 21시
중상,여,62세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-10-12 16시
중상,여,42세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-06-11 14시
중상,남,29세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-11-18 17시
중상,남,40세,승용차,중상,차대차 - 기타,맑음,0,2018-12-17 19시
중상,남,53세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-01-25 19시
중상,남,45세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-03-31 10시
경상,여,43세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-07-20 07시
경상,남,79세,승용차,경상,차대차 - 기타,맑음,0,2018-10-29 16시
중상,남,47세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-03-29 10시
경상,남,63세,승용차,경상,차대차 - 기타,맑음,0,2018-10-24 09시
경상,여,51세,승용차,경상,차대차 - 기타,맑음,1,2018-08-17 14시
경상,남,63세,승용차,경상,차대차 - 측면충돌,맑음,1,2018-10-16 10시
중상,여,38세,승용차,중상,차대차 - 측면충돌,맑음,1,2018-12-31 10시
중상,남,22세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-08-01 20시
중상,남,35세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-08-13 09시
중상,남,63세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-11-03 06시
경상,남,30세,승용차,경상,차대차 - 기타,맑음,0,2018-03-11 15시
경상,남,71세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-04-18 09시
중상,여,47세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-05-05 14시
중상,남,49세,승용차,중상,차대차 - 기타,맑음,0,2018-06-06 05시
경상,남,46세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-10-12 23시
경상,여,51세,승용차,경상,차대차 - 기타,맑음,0,2018-06-11 14시
중상,남,44세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-06-21 17시
경상,남,38세,승용차,경상,차대차 - 기타,맑음,0,2018-09-10 08시
중상,여,59세,자전거,중상,차대차 - 측면충돌,맑음,0,2018-06-15 07시
경상,남,42세,화물차,경상,차대차 - 측면충돌,맑음,0,2018-06-08 14시
중상,남,67세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-08-20 17시
중상,남,50세,승용차,중상,차대차 - 기타,맑음,0,2018-08-25 17시
중상,남,44세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-02-08 19시
경상,여,45세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-04-10 07시
경상,남,56세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-05-05 13시
중상,남,49세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-06-23 08시
경상,남,62세,승용차,경상,차대차 - 기타,맑음,0,2018-08-07 10시
경상,남,57세,승용차,경상,차대차 - 기타,맑음,0,2018-10-16 18시
경상,남,61세,승용차,경상,차대차 - 기타,맑음,1,2018-02-21 07시
경상,남,27세,승용차,경상,차대차 - 측면충돌,맑음,1,2018-06-21 22시
경상,남,36세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-01-13 13시
경상,남,57세,화물차,경상,차대차 - 기타,맑음,0,2018-03-28 09시
중상,남,60세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-04-24 11시
경상,여,39세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-04-30 08시
중상,남,37세,화물차,중상,차대차 - 기타,맑음,0,2018-07-07 10시
경상,남,55세,승용차,경상,차대차 - 기타,맑음,0,2018-07-04 06시
경상,여,25세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-07-21 07시
경상,남,27세,화물차,경상,차대차 - 기타,맑음,0,2018-11-03 13시
