식품명,에너지(kcal),영양성분함량기준량,수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),업체명
라면_THE매운맛라면,455,100g,0.0,10.91,18.18,0.0,61.82,2.73,0.0,0.0,0.0,0.0,0.0,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_우리밀해물라면,465,100g,0.0,12.28,18.42,0.0,64.04,4.39,0.0,0.0,0.0,0.0,0.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77,8.77,0.0,"(주)새롬식품,해당없음,해당없음"
라면_신라면큰사발면,430,100g,0.0,7.89,14.91,0.0,65.79,5.26,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,0.0,"(주)농심,해당없음,해당없음"
라면_채식청정면,456,100g,0.0,13.16,16.67,0.0,64.04,3.51,0.0,0.0,0.0,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,"(주)새롬식품,해당없음,해당없음"
라면_삼육채식라면(순한맛),423,100g,0.0,12.73,14.55,0.0,62.73,2.73,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,"(주)새롬식품,해당없음,해당없음"
라면_감자라면 얼큰한끼,441,100g,0.0,10.78,15.69,0.0,64.71,3.92,0.0,0.0,0.0,0.0,0.0,1784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,"(주)새롬식품(완주공장),해당없음,㈜초록마을"
라면_큰컵삼양라면,426,100g,0.0,8.7,14.78,0.0,64.35,3.48,0.0,0.0,0.0,0.0,0.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83,0.0,"삼양식품(주),해당없음,해당없음"
라면_팔도mini우동왕뚜껑,469,100g,0.0,8.75,16.25,0.0,72.5,3.75,0.0,0.0,0.0,0.0,0.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,"(주)팔도,해당없음,해당없음"
라면_순후추라면매운맛,452,100g,0.0,8.57,18.1,0.0,44.76,5.71,0.0,0.0,0.0,0.0,0.0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_감자해물맛라면,510,100g,0.0,15.0,22.0,0.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,"(주)새롬식품,해당없음,해당없음"
라면_하까다식돈코츠향라면,440,100g,0.0,9.64,18.07,0.0,60.24,6.02,0.0,0.0,0.0,0.0,0.0,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.05,0.0,"ACECOOK VIETNAM JOINT STOCK COMPANY,해당없음,해당없음"
라면_컵맛있는라면,438,100g,0.0,7.69,16.92,0.0,64.62,4.62,0.0,0.0,0.0,0.0,0.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,"삼양식품(주),해당없음,해당없음"
라면_국민짬뽕,425,100g,0.0,8.77,13.16,0.0,68.42,3.51,0.0,0.0,0.0,0.0,0.0,1605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14,0.0,"삼양식품(주)원주공장,해당없음,삼양식품㈜"
라면_신라면더레드,428,100g,0.0,8.8,13.6,0.0,67.2,4.0,0.0,114.0,0.0,0.0,0.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,6.4,0.0,"(주)농심,해당없음,해당없음"
라면_현대홈쇼핑생활라면백짬뽕,433,100g,0.0,8.0,18.67,0.0,58.67,5.33,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,6.67,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_우유라면,419,100g,0.0,8.57,14.29,0.0,63.81,5.71,0.0,0.0,0.0,0.0,0.0,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,7.62,0.0,"(주)팔도,해당없음,해당없음"
라면_하이리빙파워라면,425,100g,0.0,9.17,13.33,0.0,66.67,2.5,0.0,0.0,0.0,0.0,0.0,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,"삼양식품(주),해당없음,해당없음"
