ID,price
0,23995
1,28490
2,13251
3,14990
4,17591
5,18314
6,17750
7,17995
8,12795
9,9990
10,18414
11,8995
12,7760
13,15691
14,13488
15,8000
16,20250
17,25995
18,11670
19,12299
20,11600
22,7500
23,14470
24,21995
25,22020
26,13790
27,13498
29,5395
30,7291
31,13995
32,35995
34,11995
35,10000
36,8000
37,8200
39,5290
40,8825
41,7650
42,8790
43,12995
44,14990
46,12495
47,7250
48,8495
49,17622
50,14100
51,8995
52,6989
53,8990
54,8995
55,7995
56,10495
57,11750
58,8000
60,9995
61,10485
62,8495
63,9989
64,7291
66,9445
67,21354
69,17750
72,11697
73,11998
74,14998
75,6995
76,9800
77,13975
79,13798
81,14291
82,14600
84,7040
86,8795
87,8463
88,22395
91,8789
93,18430
94,25499
95,18490
96,22989
97,13495
99,11230
100,19500
101,9990
102,5700
103,7991
104,7769
105,5794
106,9495
108,11120
109,6795
111,28499
112,12799
114,36995
115,15792
116,23991
117,8994
118,17798
119,8000
120,36995
121,11485
123,15790
124,8990
127,6998
128,5995
129,16794
130,15769
131,13980
132,9633
133,7985
134,15701
135,13995
136,12150
138,12498
139,9491
140,31500
142,14995
143,12819
145,8780
146,8470
147,7600
148,8200
149,15498
150,11000
151,6290
153,16280
154,12995
155,7990
156,10785
157,6750
158,13990
159,12495
160,14000
162,5500
163,7995
164,12600
165,6395
166,18490
167,10998
168,9650
169,17998
170,9498
171,3750
173,12825
174,14470
176,8995
177,10998
180,5989
181,8500
182,15000
183,15450
185,11690
186,6830
187,18867
189,13985
191,4995
192,17571
193,7795
194,26995
195,9998
197,12990
198,6995
199,7998
200,8995
202,17495
204,14970
205,7500
206,7518
208,17599
212,14991
213,11990
214,6995
215,15498
217,5995
221,6881
222,10450
223,13998
224,10349
225,12495
226,13700
227,10485
228,10222
229,16590
230,12500
231,13500
234,15498
235,15000
236,5495
238,7985
240,13799
241,14000
242,16729
243,15970
244,7400
245,7750
246,19990
247,7998
248,7289
249,7125
250,23880
251,9000
252,7298
253,10795
254,16750
255,6766
257,36495
260,33900
261,17298
262,17450
263,7299
264,12995
265,12500
266,32980
267,13397
271,13495
272,17600
274,9398
275,16995
276,10399
277,8700
278,9517
279,8695
280,18995
281,15495
283,17690
284,7259
285,11485
287,20498
288,2495
289,15120
290,15790
291,13730
292,11290
293,12995
294,5945
295,9699
296,21990
297,8000
298,8921
299,17990
300,12090
